"","gene_symbol","L1","L2","L3","L4","L5","L6","WM"
"10607","NDN",7.12179552047517,7.47201786313866,7.24376099593727,7.14567053064966,7.44541174998149,7.30297943571007,7.05885131216177
"10608","NDNF",3.29387184693997,1.51069041632661,0.398590706442143,-0.539634419488862,0.269040339895942,-0.0188812649647367,0.760624060324214
"10609","NDOR1",2.29508243465442,2.38007201647439,2.62120328063713,2.3038871492233,2.33004782912047,2.89176214524489,2.45388179127937
"10610","NDP",4.53418106809692,3.94632563100558,4.49638506724238,4.42888673730757,5.07213418415131,4.84287867341099,5.02515523015831
"10611","NDRG1",6.35431981407152,6.25435456823819,6.27742800574945,6.34524724507938,6.33763717992297,7.02689774905988,8.74485385496015
"10612","NDRG2",9.64327949084269,9.31131937821849,9.30647635250032,9.28930804228012,9.19832651720059,9.22767382433093,9.58956354414929
"10613","NDRG3",7.58929056652336,8.03357417856272,8.06318980641521,8.07340525292977,8.05457768178892,8.00228455864021,7.32352181031392
"10614","NDRG4",8.97450789492671,9.20013308046377,9.5202188892475,9.73178283396776,9.82544661029511,9.50596579061282,8.52995406221272
"10615","NDST1",5.32002585092714,4.98570160174274,4.98238975535147,4.89594858781832,5.10093451908138,5.41296458594378,6.28937913890704
"10616","NDST1-AS1",-0.413893957513125,-0.723804936509733,-0.99418213909311,-0.849088801207119,-0.621436653941868,0.590655229515624,0.141263081898784
"10617","NDST2",1.86623756247773,1.32933541123723,1.80086332777766,2.11776794336703,1.87640724571478,1.73213685604164,1.22941054781259
"10618","NDST3",3.80370578221698,4.84635605642326,4.59525282634492,3.87115285832496,3.79142638922358,3.32429620059267,2.60175261994417
"10619","NDST4",-1.14034833725648,-1.39175139073083,-1.99491812583686,-1.78828844479111,-2.1951528340896,-1.94068959304646,-1.86262260658848
"10620","NDUFA1",9.14688846368473,9.18129721554912,9.24704608834321,9.25428253038862,9.15778206186679,9.00650923911471,8.68972250181954
"10621","NDUFA10",7.20108809413086,7.30600754283546,7.40956332335726,7.48101876238031,7.42640188361971,7.40191383296525,7.23794356165941
"10622","NDUFA11",8.76940298655076,8.73757423969973,8.75390644621674,8.6934610409785,8.70521893827623,8.55963344927975,8.54784562317274
"10623","NDUFA12",7.92074048361755,7.9691460733061,8.18723839991323,8.31033883383628,8.15381125246158,7.89817460079927,7.47410476193454
"10624","NDUFA13",9.34631645409219,9.35052821541803,9.35424347555249,9.28255524783893,9.24935702730292,9.08828368654493,8.94541561054521
"10625","NDUFA2",8.28310321656928,8.13839648110492,8.18288120787482,8.24615855982637,8.10553208476583,8.04486352635993,7.88184836677899
"10626","NDUFA3",9.55092088210103,9.62494839343556,9.6027427534448,9.5649861591803,9.49992389031635,9.22967045826234,9.06460671991718
"10627","NDUFA4",11.1113930240716,11.3475378890927,11.4307688451337,11.4427988080746,11.3017970310241,10.9913986645435,10.2714237537646
"10628","NDUFA4L2",5.32537798418191,4.72918825067668,4.69128779530307,4.62798901224277,4.29138990766545,4.33539108294913,3.98974730332331
"10629","NDUFA5",8.03212825869929,8.22696062408849,8.40476164392633,8.42515752433225,8.47757858227832,8.3304464538236,7.6769908687576
"10630","NDUFA6",7.66933732897746,7.62005897998928,7.66342337594577,7.75825081447107,7.67431241873698,7.58851368734236,7.18733060757492
"10631","NDUFA7",7.05731948094756,7.12535301035786,7.07297632953402,7.03460456886601,6.90580383703006,6.62576627608773,6.19704396311718
"10632","NDUFA8",7.7108250916818,7.83592517697425,7.92969370802954,7.96715634762359,7.92623152347805,7.67970079499765,7.17675555511004
"10633","NDUFA9",6.10018831325879,6.1959375913308,6.4437811300732,6.55540745810102,6.4649506788597,6.40678380591677,6.0425385571972
"10634","NDUFAB1",8.24689565283548,8.30682732680956,8.55669802858698,8.61157538345211,8.50232294727805,8.30368572790839,7.8053451250293
"10635","NDUFAF1",5.00352394577442,5.27623268739131,5.34861907503267,5.21764508945286,5.18403865922567,5.15589923625564,5.12142971437621
"10636","NDUFAF2",6.1523149727841,6.25647338499476,6.40208324006213,6.42099305887041,6.19191985742193,5.82579521809204,5.71887827463578
"10637","NDUFAF3",7.78941642846611,7.66939646407619,7.63909249588948,7.67912588981166,7.49359738618841,7.37239721462369,7.76904073567961
"10638","NDUFAF4",6.15532337475182,6.42418610944632,6.53109119325491,6.57161358992558,6.65260946059884,6.30630367064899,5.69930826726523
