gene_symbol,entrez_id,region,expression_level,marker_annotation,original_annotation
MOBP,4336,V2,+++++,oligodendrocyte,oligodendrocyte
MOBP,4336,Temporal,+++++,oligodendrocyte,NA
MOG,4340,V1,+++++,oligodendrocyte,"scattered,oligodendrocyte"
MOG,4340,V2,+++++,oligodendrocyte,"scattered,oligodendrocyte"
MOG,4340,Temporal,+++++,oligodendrocyte,NA
MPDZ,8777,V1,++,NA,ubiquitous
MPDZ,8777,V2,++,NA,ubiquitous
MPDZ,8777,Temporal,++,NA,NA
MTDH,92140,V1,+++,NA,ubiquitous
MTDH,92140,V2,+++,NA,ubiquitous
MTDH,92140,Temporal,+++,NA,NA
MYBPC1,4604,V1,+++,interneuron,scattered(5/6)
MYBPC1,4604,V2,+++,interneuron,"scattered(5,6)"
MYBPC1,4604,Temporal,+++,interneuron,"scattered(5,6)"
MYL4,4635,V1,++,NA,ubiquitous
MYL4,4635,V2,++,NA,ubiquitous
MYL4,4635,Temporal,++,NA,ubiquitous
NAIP,4671,V1,+++,NA,ubiquitous
NAIP,4671,V2,+++,NA,ubiquitous
NAIP,4671,Temporal,+++,NA,NA
NBN,4683,V1,+++,NA,ubiquitous
NBN,4683,V2,+++,NA,ubiquitous
NBN,4683,Temporal,+++,NA,NA
NBPF14,25832,V1,++++,NA,ubiquitous
NBPF14,25832,V2,++++,NA,ubiquitous
NBPF14,25832,Temporal,++++,NA,NA
NBPF3,84224,V1,++++,NA,ubiquitous
NBPF3,84224,V2,++++,NA,ubiquitous
NBPF3,84224,Temporal,++++,NA,NA
NCAM1,4684,V1,+++++,NA,ubiquitous
NCAM1,4684,V2,+++++,NA,ubiquitous
NCAM1,4684,Temporal,+++++,NA,NA
NCAN,1463,V1,++++,NA,ubiquitous(1)
NCAN,1463,V2,++++,NA,ubiquitous(1)
NCAN,1463,Temporal,++++,NA,NA
NDE1,54820,V1,++++,NA,"scattered,oligodendrocyte"
NDE1,54820,V2,++++,NA,"scattered,oligodendrocyte"
NDE1,54820,Temporal,++++,NA,"scattered,oligodendrocyte"
NDEL1,81565,V1,++++,NA,ubiquitous
NDEL1,81565,V2,++++,NA,ubiquitous
NDEL1,81565,Temporal,++++,NA,ubiquitous
NEFH,4744,V1,+++++,NA,scattered+ubiquitous
NEFH,4744,V2,+++++,NA,layer 3+scattered
NEFH,4744,Temporal,+++++,NA,layer 3+scattered
NEFL,4747,V1,+++++,NA,scattered+ubiquitous
NEFL,4747,V2,+++++,NA,ubiquitous
NEFL,4747,Temporal,+++++,NA,ubiquitous
NEFM,4741,V1,+++++,NA,"scattered+ubiquitous(2/3,6)+glial"
NEFM,4741,V2,+++++,NA,"scattered+ubiquitous(2/3,5/6)+glial"
NEFM,4741,Temporal,+++++,NA,"scattered+ubiquitous(2/3,5/6)+glial"
NEK2,4751,V1,-,NA,none
NEK2,4751,V2,-,NA,none
NEK2,4751,Temporal,-,NA,none
NETO2,81831,V1,+,NA,sparse to none
NETO2,81831,V2,+,NA,sparse to none
NETO2,81831,Temporal,+,NA,sparse to none
NGF,4803,V1,+,NA,ubiquitous
NGF,4803,V2,+,NA,ubiquitous
NGF,4803,Temporal,+,NA,ubiquitous
NGFR,4804,V1,+,NA,sparse to none
NGFR,4804,V2,+,NA,sparse to none
NGFR,4804,Temporal,+,NA,sparse to none
NHEJ1,79840,V1,+,NA,ubiquitous
NHEJ1,79840,V2,+,NA,ubiquitous
NHEJ1,79840,Temporal,+,NA,NA
NLGN1,22871,V1,+++,NA,"ubiquitous(2/3,4C,5/6)"
NLGN1,22871,V2,+++,NA,ubiquitous
NLGN1,22871,Temporal,+++,NA,NA
NLGN2,57555,V1,+++,NA,ubiquitous
NLGN2,57555,V2,+++,NA,ubiquitous
NLGN2,57555,Temporal,+++,NA,NA
NLGN3,54413,V1,+++,NA,scattered+ubiquitous
NLGN3,54413,V2,+++,NA,scattered+ubiquitous
NLGN3,54413,Temporal,+++,NA,NA
NLGN4X,57502,V1,++,NA,ubiquitous
NLGN4X,57502,V2,++,NA,ubiquitous
NLGN4X,57502,Temporal,++,NA,NA
NMB,4828,V1,++++,NA,ubiquitous
NMB,4828,V2,++++,NA,ubiquitous
NMB,4828,Temporal,++++,NA,ubiquitous
NNAT,4826,V1,+++++,NA,"ubquitous(2/3,(4C),5/6)"
NNAT,4826,V2,+++++,NA,"ubquitous(2,3,5,6)"
NNAT,4826,Temporal,+++++,NA,"ubquitous(2,3,5,6)"
NOS1,4842,V1,+++++,interneuron,sparse+scattered
NOS1,4842,V2,+++++,interneuron,sparse+scattered
NOS1,4842,Temporal,+++++,interneuron,sparse+scattered
CCN3,4856,V1,+,NA,ubiquitous
CCN3,4856,V2,+,NA,ubiquitous
CCN3,4856,Temporal,+,NA,"layer 5 + scattered (3,6)"
NPAS1,4861,V1,+++,interneuron,scattered
NPAS1,4861,V2,+++,interneuron,scattered
NPAS1,4861,Temporal,+++,interneuron,NA
NPAS3,64067,V1,+++,interneuron,scattered
NPAS3,64067,V2,+++,interneuron,scattered
NPAS3,64067,Temporal,+++,interneuron,NA
NPAS3,64067,V1,+++,interneuron,scattered
NPAS3,64067,V2,+++,interneuron,scattered
NPAS3,64067,Temporal,+++,interneuron,NA
NPAS3,64067,V1,+++,astrocyte,scattered
NPAS3,64067,V2,+++,astrocyte,scattered
NPAS3,64067,Temporal,+++,astrocyte,NA
NPAS3,64067,V1,+++,astrocyte,scattered
NPAS3,64067,V2,+++,astrocyte,scattered
NPAS3,64067,Temporal,+++,astrocyte,NA
NPBWR2,2832,V1,+,NA,ubiquitous
NPBWR2,2832,V2,+,NA,ubiquitous
NPBWR2,2832,Temporal,+,NA,NA
NPIPB3,23117,V1,+++++,NA,ubiquitous
NPIPB3,23117,V2,+++++,NA,ubiquitous
NPIPB3,23117,Temporal,+++++,NA,NA
NPR3,4883,V1,+++,NA,sparse
NPR3,4883,V2,+++,NA,sparse
NPR3,4883,Temporal,+++,NA,sparse
NPSR1,387129,V1,-,NA,none
NPSR1,387129,V2,-,NA,none
NPSR1,387129,Temporal,-,NA,none
NPVF,64111,V1,-,NA,none
NPVF,64111,V2,-,NA,none
NPVF,64111,Temporal,-,NA,none
NPY,4852,V1,+++++,interneuron,sparse
NPY,4852,V2,+++++,interneuron,sparse
NPY,4852,Temporal,+++++,interneuron,sparse
NPY1R,4886,V1,+++,NA,"layer 6(2/3,5)"
NPY1R,4886,V2,+++,NA,"layer 2(/3),5,6"
NPY1R,4886,Temporal,+++,NA,"layer 2(/3),5,6"
NPY2R,4887,V1,+++,layer 6,layer 6
NPY2R,4887,V2,+++,layer 6,none
NPY2R,4887,Temporal,+++,layer 6,NA
NPY5R,4889,V1,+,NA,ubiquitous
NPY5R,4889,V2,+,NA,ubiquitous
NPY5R,4889,Temporal,+,NA,NA
NR2F2,7026,V1,++,NA,scattered
NR2F2,7026,V2,++,NA,scattered
NR2F2,7026,Temporal,++,NA,sparse to none
NR3C1,2908,V1,++++,NA,"ubiquitous(2/3,5/6)"
NR3C1,2908,V2,++++,NA,ubiquitous
NR3C1,2908,Temporal,++++,NA,ubiquitous
NR4A2,4929,V1,+++++,layer 6,layer 6(b)
NR4A2,4929,V2,+++++,layer 6,layer 6(b)
NR4A2,4929,Temporal,+++++,layer 6,layer 6(b)
NR4A2,4929,V1,+++++,layer 6,layer 6(b)
NR4A2,4929,V2,+++++,layer 6,layer 6(b)
NR4A2,4929,Temporal,+++++,layer 6,layer 6(b)
NR4A2,4929,V1,+++++,layer 6,layer 6(b)
NR4A2,4929,V2,+++++,layer 6,layer 6(b)
NR4A2,4929,Temporal,+++++,layer 6,layer 6(b)
NR4A2,4929,V1,+++++,layer 6,layer 6(b)
NR4A2,4929,V2,+++++,layer 6,layer 6(b)
NR4A2,4929,Temporal,+++++,layer 6,layer 6(b)
NRCAM,4897,V1,+++++,NA,"ubiquitous(2/3,4C,5/6)"
NRCAM,4897,V2,+++++,NA,ubiquitous
NRCAM,4897,Temporal,+++++,NA,ubiquitous
NRG1,3084,V1,+,NA,ubiquitous
NRG1,3084,V2,+,NA,ubiquitous
NRG1,3084,Temporal,+,NA,ubiquitous
NRIP3,56675,V1,++++,interneuron,scattered
NRIP3,56675,V2,++++,interneuron,scattered
NRIP3,56675,Temporal,++++,interneuron,scattered
NRXN1,9378,V1,+++,NA,ubiquitous(5/6)
NRXN1,9378,V2,+++,NA,ubiquitous
NRXN1,9378,Temporal,+++,NA,ubiquitous
NTF3,4908,V1,-,NA,none
NTF3,4908,V2,-,NA,none
NTF3,4908,Temporal,-,NA,none
NTNG2,84628,V1,+++++,layer 6,"layer 6(4C,5)"
NTNG2,84628,V2,+++++,layer 6,layer 6
NTNG2,84628,Temporal,+++++,layer 6,layer 6
NTRK2,4915,V1,+++++,NA,ubiquitous
NTRK2,4915,V2,+++++,NA,ubiquitous
NTRK2,4915,Temporal,+++++,NA,ubiquitous
NTRK3,4916,V1,++++,NA,"ubiquitous(2/3,5/6)"
NTRK3,4916,V2,++++,NA,ubiquitous
NTRK3,4916,Temporal,++++,NA,ubiquitous
NTS,4922,V1,-,NA,none
NTS,4922,V2,-,NA,none
NTS,4922,Temporal,-,NA,none
NTSR2,23620,V1,+,NA,ubiquitous
NTSR2,23620,V2,+,NA,ubiquitous
NTSR2,23620,Temporal,+,NA,NA
NUDT4,11163,V1,+++++,NA,ubiquitous+oligodendrocyte
NUDT4,11163,V2,+++++,NA,ubiquitous+oligodendrocyte
NUDT4,11163,Temporal,+++++,NA,ubiquitous+oligodendrocyte
NXPH1,30010,V1,+++,interneuron,scattered
NXPH1,30010,V2,+++,interneuron,scattered
NXPH1,30010,Temporal,+++,interneuron,scattered
OMG,4974,V1,++,NA,"ubiquitous(2/3,4C,5/6)"
OMG,4974,V2,++,NA,ubiquitous
OMG,4974,Temporal,++,NA,ubiquitous
OPHN1,4983,V1,+++,NA,scattered+ubiquitous
OPHN1,4983,V2,+++,NA,scattered+ubiquitous
OPHN1,4983,Temporal,+++,NA,NA
OPRD1,4985,V1,+,NA,scattered+ubiquitous
OPRD1,4985,V2,+,NA,scattered+ubiquitous
OPRD1,4985,Temporal,+,NA,NA
OPRK1,4986,V1,+++,layer 6,layer 6+scattered
OPRK1,4986,V2,+++,layer 6,layer 6+scattered
OPRK1,4986,Temporal,+++,layer 6,layer 6+scattered
OPRL1,4987,V1,++,NA,ubiquitous
OPRL1,4987,V2,++,NA,ubiquitous
OPRL1,4987,Temporal,++,NA,ubiquitous
OPRM1,4988,V1,+,NA,sparse to none
OPRM1,4988,V2,+,NA,sparse to none
OPRM1,4988,Temporal,+,NA,"layer 3,5 + ubiquitous"
OXT,5020,V1,-,NA,none
OXT,5020,V2,-,NA,none
OXT,5020,Temporal,-,NA,NA
OXTR,5021,V1,+,NA,ubiquitous
OXTR,5021,V2,+,NA,ubiquitous
OXTR,5021,Temporal,+,NA,ubiquitous
PAFAH1B1,5048,V1,+++++,NA,ubiquitous
PAFAH1B1,5048,V2,+++++,NA,ubiquitous
PAFAH1B1,5048,Temporal,+++++,NA,ubiquitous
PAIP1,10605,V1,+++,NA,ubiquitous
PAIP1,10605,V2,+++,NA,ubiquitous
PAIP1,10605,Temporal,+++,NA,NA
PAK2,5062,V1,+++,NA,scattered+ubiquitous
PAK2,5062,V2,+++,NA,scattered+ubiquitous
PAK2,5062,Temporal,+++,NA,NA
PAK3,5063,V1,+++,NA,"layer 2/3,4C,5/6"
PAK3,5063,V2,+++,NA,ubiquitous
PAK3,5063,Temporal,+++,NA,ubiquitous
PRKN,5071,V1,+++,NA,ubiquitous
PRKN,5071,V2,+++,NA,ubiquitous
PRKN,5071,Temporal,+++,NA,ubiquitous
PARK7,11315,V1,+++++,NA,scattered+ubiquitous
PARK7,11315,V2,+++++,NA,scattered+ubiquitous
PARK7,11315,Temporal,+++++,NA,NA
PARM1,25849,V1,+++++,NA,"scattered+ubiquitous(2/3,4C)"
PARM1,25849,V2,+++++,NA,scattered+ubiquitous(4)
PARM1,25849,Temporal,+++++,NA,scattered+ubiquitous(4)
PAX6,5080,V1,++,NA,scattered
PAX6,5080,V2,++,NA,scattered
PAX6,5080,Temporal,++,NA,scattered
PCDH17,27253,V1,++++,layer 6,layer 6
PCDH17,27253,V2,++++,layer 6,layer 6
PCDH17,27253,Temporal,++++,layer 6,"layer 6+2,3"
PCDH18,54510,V1,+++,interneuron,scattered
PCDH18,54510,V2,+++,interneuron,scattered
PCDH18,54510,Temporal,+++,interneuron,scattered
PCDH20,64881,V1,++,layer 5,layer 5/6+scattered
PCDH20,64881,V2,++,layer 5,scattered(6)
PCDH20,64881,Temporal,++,layer 5,Layer 4/6 + scattered
PCDH20,64881,V1,++,layer 5,layer 5/6+scattered
PCDH20,64881,V2,++,layer 5,scattered(6)
PCDH20,64881,Temporal,++,layer 5,Layer 4/6 + scattered
PCDH20,64881,V1,++,layer 6,layer 5/6+scattered
PCDH20,64881,V2,++,layer 6,scattered(6)
PCDH20,64881,Temporal,++,layer 6,Layer 4/6 + scattered
PCDH20,64881,V1,++,layer 6,layer 5/6+scattered
PCDH20,64881,V2,++,layer 6,scattered(6)
PCDH20,64881,Temporal,++,layer 6,Layer 4/6 + scattered
PCDHA6,56142,V1,++,NA,scattered+ubiquitous
PCDHA6,56142,V2,++,NA,scattered+ubiquitous
PCDHA6,56142,Temporal,++,NA,NA
PCNT,5116,V1,+++++,NA,ubiquitous(6)
PCNT,5116,V2,+++++,NA,ubiquitous
PCNT,5116,Temporal,+++++,NA,ubiquitous
PCP4,5121,V1,+++++,layer 5,"layer 4C(4),5/6"
PCP4,5121,V2,+++++,layer 5,"layer 5,6(3)"
PCP4,5121,Temporal,+++++,layer 5,"layer 5,6(3)"
PCP4,5121,V1,+++++,layer 5,"layer 4C(4),5/6"
PCP4,5121,V2,+++++,layer 5,"layer 5,6(3)"
PCP4,5121,Temporal,+++++,layer 5,"layer 5,6(3)"
PCP4,5121,V1,+++++,layer 6,"layer 4C(4),5/6"
PCP4,5121,V2,+++++,layer 6,"layer 5,6(3)"
PCP4,5121,Temporal,+++++,layer 6,"layer 5,6(3)"
PCP4,5121,V1,+++++,layer 6,"layer 4C(4),5/6"
PCP4,5121,V2,+++++,layer 6,"layer 5,6(3)"
PCP4,5121,Temporal,+++++,layer 6,"layer 5,6(3)"
PDE10A,10846,V1,++,NA,scattered+ubiquitous
PDE10A,10846,V2,++,NA,scattered+ubiquitous
PDE10A,10846,Temporal,++,NA,scattered+ubiquitous
PDE1A,5136,V1,++++,layer 5,"layer 4C,5/6"
PDE1A,5136,V2,++++,layer 5,"layer 5,6"
PDE1A,5136,Temporal,++++,layer 5,"layer 5,6"
PDE1A,5136,V1,++++,layer 5,"layer 4C,5/6"
PDE1A,5136,V2,++++,layer 5,"layer 5,6"
PDE1A,5136,Temporal,++++,layer 5,"layer 5,6"
PDE1A,5136,V1,++++,layer 6,"layer 4C,5/6"
PDE1A,5136,V2,++++,layer 6,"layer 5,6"
PDE1A,5136,Temporal,++++,layer 6,"layer 5,6"
PDE1A,5136,V1,++++,layer 6,"layer 4C,5/6"
PDE1A,5136,V2,++++,layer 6,"layer 5,6"
PDE1A,5136,Temporal,++++,layer 6,"layer 5,6"
PDE4B,5142,V1,+++,NA,ubiquitous
PDE4B,5142,V2,+++,NA,ubiquitous
PDE4B,5142,Temporal,+++,NA,ubiquitous
PDE4DIP,9659,V1,+++++,NA,scattered+ubiquitous
PDE4DIP,9659,V2,+++++,NA,scattered+ubiquitous
PDE4DIP,9659,Temporal,+++++,NA,scattered+ubiquitous
PDE5A,8654,V1,+,NA,ubiquitous
PDE5A,8654,V2,+,NA,ubiquitous
PDE5A,8654,Temporal,+,NA,ubiquitous
PDHX,8050,V1,+++,NA,ubiquitous
PDHX,8050,V2,+++,NA,ubiquitous
PDHX,8050,Temporal,+++,NA,NA
PDLIM5,10611,V1,+,NA,ubiquitous
PDLIM5,10611,V2,+,NA,ubiquitous
PDLIM5,10611,Temporal,+,NA,NA
PDYN,5173,V1,++++,interneuron,layer 4C+scattered
PDYN,5173,V2,++++,interneuron,ubiquitous(4/5s?)
PDYN,5173,Temporal,++++,interneuron,ubiquitous(4/5s?)
PDYN,5173,V1,++++,interneuron,layer 4C+scattered
PDYN,5173,V2,++++,interneuron,ubiquitous(4/5s?)
PDYN,5173,Temporal,++++,interneuron,ubiquitous(4/5s?)
PDYN,5173,V1,++++,layer 4,layer 4C+scattered
PDYN,5173,V2,++++,layer 4,ubiquitous(4/5s?)
PDYN,5173,Temporal,++++,layer 4,ubiquitous(4/5s?)
PDYN,5173,V1,++++,layer 4,layer 4C+scattered
PDYN,5173,V2,++++,layer 4,ubiquitous(4/5s?)
PDYN,5173,Temporal,++++,layer 4,ubiquitous(4/5s?)
PEG3,5178,V1,+++++,NA,ubiquitous
PEG3,5178,V2,+++++,NA,ubiquitous
PEG3,5178,Temporal,+++++,NA,NA
PENK,5179,V1,+++++,layer 2,"layer 2/3,6+scattered"
PENK,5179,V2,+++++,layer 2,layer 2/3+sparse(6)
PENK,5179,Temporal,+++++,layer 2,layer 2/3+sparse(6)
PENK,5179,V1,+++++,layer 2,"layer 2/3,6+scattered"
PENK,5179,V2,+++++,layer 2,layer 2/3+sparse(6)
PENK,5179,Temporal,+++++,layer 2,layer 2/3+sparse(6)
PENK,5179,V1,+++++,layer 2,"layer 2/3,6+scattered"
PENK,5179,V2,+++++,layer 2,layer 2/3+sparse(6)
PENK,5179,Temporal,+++++,layer 2,layer 2/3+sparse(6)
PENK,5179,V1,+++++,layer 3,"layer 2/3,6+scattered"
PENK,5179,V2,+++++,layer 3,layer 2/3+sparse(6)
PENK,5179,Temporal,+++++,layer 3,layer 2/3+sparse(6)
PENK,5179,V1,+++++,layer 3,"layer 2/3,6+scattered"
PENK,5179,V2,+++++,layer 3,layer 2/3+sparse(6)
PENK,5179,Temporal,+++++,layer 3,layer 2/3+sparse(6)
PENK,5179,V1,+++++,layer 3,"layer 2/3,6+scattered"
PENK,5179,V2,+++++,layer 3,layer 2/3+sparse(6)
PENK,5179,Temporal,+++++,layer 3,layer 2/3+sparse(6)
PENK,5179,V1,+++++,layer 6,"layer 2/3,6+scattered"
PENK,5179,V2,+++++,layer 6,layer 2/3+sparse(6)
PENK,5179,Temporal,+++++,layer 6,layer 2/3+sparse(6)
PENK,5179,V1,+++++,layer 6,"layer 2/3,6+scattered"
PENK,5179,V2,+++++,layer 6,layer 2/3+sparse(6)
PENK,5179,Temporal,+++++,layer 6,layer 2/3+sparse(6)
PENK,5179,V1,+++++,layer 6,"layer 2/3,6+scattered"
PENK,5179,V2,+++++,layer 6,layer 2/3+sparse(6)
PENK,5179,Temporal,+++++,layer 6,layer 2/3+sparse(6)
PHF8,23133,V1,+++,NA,ubiquitous
PHF8,23133,V2,+++,NA,ubiquitous
PHF8,23133,Temporal,+++,NA,NA
PHGDH,26227,V1,NA,NA,N/A
PHGDH,26227,V2,NA,NA,ubiquitous
PHGDH,26227,Temporal,NA,NA,NA
PIK3CB,5291,V1,+++,NA,"ubiquitous(2/3,5/6)"
PIK3CB,5291,V2,+++,NA,ubiquitous
PIK3CB,5291,Temporal,+++,NA,NA
PIK3CG,5294,V1,-,NA,none
PIK3CG,5294,V2,-,NA,none
PIK3CG,5294,Temporal,-,NA,NA
PINK1,65018,V1,+++++,NA,scattered+ubiquitous
PINK1,65018,V2,+++++,NA,scattered+ubiquitous
PINK1,65018,Temporal,+++++,NA,NA
PLAU,5328,V1,+,NA,ubiquitous
PLAU,5328,V2,+,NA,ubiquitous
PLAU,5328,Temporal,+,NA,NA
PLAUR,5329,V1,++,NA,ubiquitous
PLAUR,5329,V2,++,NA,ubiquitous
PLAUR,5329,Temporal,++,NA,NA
PLTP,5360,V1,++,vascular endothelial cell,scattered+VEC
PLTP,5360,V2,++,vascular endothelial cell,scattered+VEC
PLTP,5360,Temporal,++,vascular endothelial cell,scattered+VEC
PLXNA2,5362,V1,++++,NA,"ubiquitous(2/3,4C,5/6)"
PLXNA2,5362,V2,++++,NA,ubiquitous
PLXNA2,5362,Temporal,++++,NA,ubiquitous
PLXND1,23129,V1,+++,NA,"ubiquitous(2/3,4)"
PLXND1,23129,V2,+++,NA,"ubiquitous(2,3,4)"
PLXND1,23129,Temporal,+++,NA,"ubiquitous(2,3,4)"
PMCH,5367,V1,-,NA,none
PMCH,5367,V2,-,NA,none
PMCH,5367,Temporal,-,NA,NA
PNOC,5368,V1,++++,interneuron,scattered
PNOC,5368,V2,++++,interneuron,scattered
PNOC,5368,Temporal,++++,interneuron,scattered
POM121,9883,V1,+++++,NA,ubiquitous
POM121,9883,V2,+++++,NA,ubiquitous
POM121,9883,Temporal,+++++,NA,NA
POMT1,10585,V1,++++,NA,ubiquitous
POMT1,10585,V2,++++,NA,ubiquitous
POMT1,10585,Temporal,++++,NA,NA
PLPP3,8613,V1,++++,astrocyte,"scattered(1,2/3,5/6)+glial"
PLPP3,8613,V2,++++,astrocyte,"scattered(1,2/3,5/6)+glial"
PLPP3,8613,Temporal,++++,astrocyte,"scattered(1,2/3,5/6)+glial"
PPP1R1B,84152,V1,+++,NA,"ubiquitous(2/3,4C,5/6)"
PPP1R1B,84152,V2,+++,NA,ubiquitous
PPP1R1B,84152,Temporal,+++,NA,ubiquitous
PPP3CA,5530,V1,+++++,NA,"ubiquitous(2/3,(4C,6))"
PPP3CA,5530,V2,+++++,NA,ubiquitous
PPP3CA,5530,Temporal,+++++,NA,ubiquitous
PPP3CB,5532,V1,+++,NA,"ubiquitous(2/3,4C,5/6)"
PPP3CB,5532,V2,+++,NA,"ubiquitous(2/3,5/6)"
PPP3CB,5532,Temporal,+++,NA,NA
PPP3CC,5533,V1,+,NA,ubiquitous
PPP3CC,5533,V2,+,NA,ubiquitous
PPP3CC,5533,Temporal,+,NA,NA
PQBP1,10084,V1,+++,NA,ubiquitous
PQBP1,10084,V2,+++,NA,ubiquitous
PQBP1,10084,Temporal,+++,NA,ubiquitous
PRKCB,5579,V1,+++++,NA,ubiquitous
PRKCB,5579,V2,+++++,NA,ubiquitous
PRKCB,5579,Temporal,+++++,NA,ubiquitous
PRKCG,5582,V1,++++,NA,"layer 2,5/6"
PRKCG,5582,V2,++++,NA,"layer 2,5,6"
PRKCG,5582,Temporal,++++,NA,ubiquitous
PRLH,51052,V1,++++,NA,ubiquitous
PRLH,51052,V2,++++,NA,ubiquitous
PRLH,51052,Temporal,++++,NA,NA
PRLHR,2834,V1,++,NA,scattered
PRLHR,2834,V2,++,NA,scattered
PRLHR,2834,Temporal,++,NA,scattered
PRODH,5625,V1,+++++,astrocyte,scattered
PRODH,5625,V2,+++++,astrocyte,scattered
PRODH,5625,Temporal,+++++,astrocyte,NA
PRSS12,8492,V1,++,layer 3,"sparse(3,4)"
PRSS12,8492,V2,++,layer 3,"sparse(3,4)"
PRSS12,8492,Temporal,++,layer 3,"layer 3,4 + scattered(2)"
PRSS12,8492,V1,++,layer 3,"sparse(3,4)"
PRSS12,8492,V2,++,layer 3,"sparse(3,4)"
PRSS12,8492,Temporal,++,layer 3,"layer 3,4 + scattered(2)"
PRSS12,8492,V1,++,layer 4,"sparse(3,4)"
PRSS12,8492,V2,++,layer 4,"sparse(3,4)"
PRSS12,8492,Temporal,++,layer 4,"layer 3,4 + scattered(2)"
PRSS12,8492,V1,++,layer 4,"sparse(3,4)"
PRSS12,8492,V2,++,layer 4,"sparse(3,4)"
PRSS12,8492,Temporal,++,layer 4,"layer 3,4 + scattered(2)"
PRSS23,11098,V1,+,NA,sparse to none
PRSS23,11098,V2,+,NA,sparse to none
PRSS23,11098,Temporal,+,NA,sparse to none
PSEN1,5663,V1,+++,NA,scattered+ubiquitous
PSEN1,5663,V2,+++,NA,scattered+ubiquitous
PSEN1,5663,Temporal,+++,NA,NA
PSEN2,5664,V1,++,NA,ubiquitous
PSEN2,5664,V2,++,NA,ubiquitous
PSEN2,5664,Temporal,++,NA,NA
PTEN,5728,V1,+++,NA,"ubiquitous(4C,6)"
PTEN,5728,V2,+++,NA,ubiquitous(4)
PTEN,5728,Temporal,+++,NA,NA
PTGS2,5743,V1,+++,NA,"scattered(2/3,6)"
PTGS2,5743,V2,+++,NA,"scattered(2/3,6)"
PTGS2,5743,Temporal,+++,NA,"scattered(2/3,6)"
PTHLH,5744,V1,++++,interneuron,scattered
PTHLH,5744,V2,++++,interneuron,scattered
PTHLH,5744,Temporal,++++,interneuron,scattered
PVALB,5816,V1,+++++,interneuron,scattered
PVALB,5816,V2,+++++,interneuron,scattered
PVALB,5816,Temporal,+++++,interneuron,scattered
NECTIN3,25945,V1,+++,layer 2,ubiquitous(2/3)
NECTIN3,25945,V2,+++,layer 2,ubiquitous(2/3)
NECTIN3,25945,Temporal,+++,layer 2,ubiquitous(2/3)
NECTIN3,25945,V1,+++,layer 2,ubiquitous(2/3)
NECTIN3,25945,V2,+++,layer 2,ubiquitous(2/3)
NECTIN3,25945,Temporal,+++,layer 2,ubiquitous(2/3)
NECTIN3,25945,V1,+++,layer 3,ubiquitous(2/3)
NECTIN3,25945,V2,+++,layer 3,ubiquitous(2/3)
NECTIN3,25945,Temporal,+++,layer 3,ubiquitous(2/3)
NECTIN3,25945,V1,+++,layer 3,ubiquitous(2/3)
NECTIN3,25945,V2,+++,layer 3,ubiquitous(2/3)
NECTIN3,25945,Temporal,+++,layer 3,ubiquitous(2/3)
QDPR,5860,V1,+++++,oligodendrocyte,scattered+ubiquitous+oligodendrocyte
QDPR,5860,V2,+++++,oligodendrocyte,scattered+ubiquitous+oligodendrocyte
QDPR,5860,Temporal,+++++,oligodendrocyte,scattered+ubiquitous+oligodendrocyte
QRFPR,84109,V1,-,NA,none
QRFPR,84109,V2,-,NA,sparse to none
QRFPR,84109,Temporal,-,NA,sparse to none
RAB3B,5865,V1,+++++,NA,ubiquitous+oligodendrocyte
RAB3B,5865,V2,+++++,NA,ubiquitous+oligodendrocyte
RAB3B,5865,Temporal,+++++,NA,ubiquitous+oligodendrocyte
RAB3C,115827,V1,++++,NA,"scattered+ubiquitous(2/3,4C,5/6)"
RAB3C,115827,V2,++++,NA,scattered+ubiquitous
RAB3C,115827,Temporal,++++,NA,scattered+ubiquitous
RAB3GAP1,22930,V1,+++,NA,"ubiquitous(2/3,6)"
RAB3GAP1,22930,V2,+++,NA,ubiquitous
RAB3GAP1,22930,Temporal,+++,NA,NA
RAB3IP,117177,V1,+++,NA,scattered
RAB3IP,117177,V2,+++,NA,scattered
RAB3IP,117177,Temporal,+++,NA,scattered
RAB6A,5870,V1,+++++,NA,scattered+ubiquitous
RAB6A,5870,V2,+++++,NA,scattered+ubiquitous
RAB6A,5870,Temporal,+++++,NA,scattered+ubiquitous
RANBP9,10048,V1,+++,NA,ubiquitous
RANBP9,10048,V2,+++,NA,ubiquitous
RANBP9,10048,Temporal,+++,NA,NA
RAPGEF4,11069,V1,++++,NA,"scattered+ubiquitous(2/3,4C,5/6)"
RAPGEF4,11069,V2,++++,NA,ubiquitous
RAPGEF4,11069,Temporal,++++,NA,ubiquitous
RASGRF2,5924,V1,++++,layer 2,layer 2/3+scattered
RASGRF2,5924,V2,++++,layer 2,layer 2/3+scattered
RASGRF2,5924,Temporal,++++,layer 2,layer 2/3+scattered
RASGRF2,5924,V1,++++,layer 2,layer 2/3+scattered
RASGRF2,5924,V2,++++,layer 2,layer 2/3+scattered
RASGRF2,5924,Temporal,++++,layer 2,layer 2/3+scattered
RASGRF2,5924,V1,++++,layer 3,layer 2/3+scattered
RASGRF2,5924,V2,++++,layer 3,layer 2/3+scattered
RASGRF2,5924,Temporal,++++,layer 3,layer 2/3+scattered
RASGRF2,5924,V1,++++,layer 3,layer 2/3+scattered
RASGRF2,5924,V2,++++,layer 3,layer 2/3+scattered
