gene_symbol,entrez_id,region,expression_level,marker_annotation,original_annotation
HCN3,57657,V2,-,NA,none
HCN3,57657,Temporal,-,NA,NA
HCN4,10021,V1,+++++,NA,ubiquitous
HCN4,10021,V2,+++++,NA,ubiquitous
HCN4,10021,Temporal,+++++,NA,NA
HCRTR1,3061,V1,+++,NA,scattered
HCRTR1,3061,V2,+++,NA,scattered
HCRTR1,3061,Temporal,+++,NA,scattered + layer 3
HCRTR2,3062,V1,++,NA,ubiquitous(6)
HCRTR2,3062,V2,++,NA,ubiquitous(6)
HCRTR2,3062,Temporal,++,NA,ubiquitous(6)
HOMER1,9456,V1,++++,NA,"layer(2/3),5/6"
HOMER1,9456,V2,++++,NA,ubiquitous
HOMER1,9456,Temporal,++++,NA,ubiquitous
HPSE,10855,V1,++,NA,scattered(4C)
HPSE,10855,V2,++,NA,sparse
HPSE,10855,Temporal,++,NA,sparse
HRH1,3269,V1,-,NA,none
HRH1,3269,V2,-,NA,none
HRH1,3269,Temporal,-,NA,none
HRH4,59340,V1,-,NA,none
HRH4,59340,V2,-,NA,none
HRH4,59340,Temporal,-,NA,NA
HSD11B1,3290,V1,+++,NA,scattered
HSD11B1,3290,V2,+++,NA,scattered
HSD11B1,3290,Temporal,+++,NA,scattered
HSPG2,3339,V1,+++,NA,ubiquitous(4C)
HSPG2,3339,V2,+++,NA,scattered
HSPG2,3339,Temporal,+++,NA,NA
HTR1A,3350,V1,+++,NA,"ubiquitous(2/3,4C,5/6)"
HTR1A,3350,V2,+++,NA,ubiquitous(2/3)
HTR1A,3350,Temporal,+++,NA,ubiquitous(2/3)
HTR1B,3351,V1,+++,NA,layer 4C+
HTR1B,3351,V2,+++,NA,ubiquitous(3)
HTR1B,3351,Temporal,+++,NA,ubiquitous
HTR1D,3352,V1,+,NA,ubiquitous
HTR1D,3352,V2,+,NA,ubiquitous
HTR1D,3352,Temporal,+,NA,NA
HTR1E,3354,V1,++,NA,ubiquitous
HTR1E,3354,V2,++,NA,ubiquitous
HTR1E,3354,Temporal,++,NA,NA
HTR1F,3355,V1,++,NA,"ubiquitous(2/3,4C,5/6)"
HTR1F,3355,V2,++,NA,ubiquitous
HTR1F,3355,Temporal,++,NA,NA
HTR2A,3356,V1,++++,NA,ubiquitous(4C)
HTR2A,3356,V2,++++,NA,ubiquitous
HTR2A,3356,Temporal,++++,NA,NA
HTR2B,3357,V1,-,NA,none
HTR2B,3357,V2,-,NA,none
HTR2B,3357,Temporal,-,NA,none
HTR2C,3358,V1,+++,layer 5,sparse(5)
HTR2C,3358,V2,+++,layer 5,layer 5
HTR2C,3358,Temporal,+++,layer 5,layer 5
HTR3A,3359,V1,+,NA,ubiquitous
HTR3A,3359,V2,+,NA,ubiquitous
HTR3A,3359,Temporal,+,NA,ubiquitous
HTR4,3360,V1,-,NA,none
HTR4,3360,V2,-,NA,none
HTR4,3360,Temporal,-,NA,none
HTR5A,3361,V1,+,NA,ubiquitous
HTR5A,3361,V2,+,NA,ubiquitous
HTR5A,3361,Temporal,+,NA,NA
HTR6,3362,V1,+++,NA,ubiquitous
HTR6,3362,V2,+++,NA,ubiquitous
HTR6,3362,Temporal,+++,NA,NA
HTR7,3363,V1,+,NA,ubiquitous
HTR7,3363,V2,+,NA,ubiquitous
HTR7,3363,Temporal,+,NA,NA
HTRA2,27429,V1,++,NA,ubiquitous
HTRA2,27429,V2,++,NA,ubiquitous
HTRA2,27429,Temporal,++,NA,NA
ID2,3398,V1,+++++,NA,"layer (2/3,4C),5/6"
ID2,3398,V2,+++++,NA,"ubiquitous(5,6)"
ID2,3398,Temporal,+++++,NA,"ubiquitous(5,6)"
IGBP1,3476,V1,+,NA,ubiquitous
IGBP1,3476,V2,+,NA,ubiquitous
IGBP1,3476,Temporal,+,NA,NA
IGF1,3479,V1,++,NA,scattered
IGF1,3479,V2,++,NA,scattered
IGF1,3479,Temporal,++,NA,NA
IGFBP4,3487,V1,+,NA,ubiquitous
IGFBP4,3487,V2,+,NA,ubiquitous
IGFBP4,3487,Temporal,+,NA,ubiquitous (2)
IGFN1,91156,V1,+,NA,ubiquitous
IGFN1,91156,V2,+,NA,ubiquitous
IGFN1,91156,Temporal,+,NA,sparse to none
