"","gene_symbol","Layer1","Layer2","Layer3","Layer4","Layer5","Layer6"
"7011","CHCHD2",9.51107864694197,9.48491677478744,9.45655528811157,9.43890409331056,9.3783218608255,9.34260274981251
"7012","NUPR2",4.33435343539964,3.95366465843519,3.72062037041198,3.56533512493698,3.65185074495563,3.69969339458574
"7013","LOC100653233",0.178496618658084,0.270707075243236,0.289456992460012,0.315109046119033,0.3799935976284,0.33850508844177
"7014","LINC01005",0.178496618658084,0.178496618658084,0.178496618658084,0.315109046119033,0.178496618658083,0.178496618658083
"7015","ZNF736",2.9914549179825,3.00081740151449,2.62496201527642,2.75713899367234,2.88656844563587,2.90641001992632
"7016","ZNF680",4.11847616360292,4.10158933519703,4.20415422628695,3.59851661660176,3.61527604430828,4.05667579386421
"7017","ZNF107",1.96860523819841,1.99154125325365,1.9813639548494,2.20609399940352,2.35355345326573,2.19435110067192
"7018","ZNF138",3.55429081367734,3.58860096656784,3.65071224568637,3.67592614202046,3.52941151077635,3.84805603980836
"7019","ZNF273",4.14500689523894,4.15589168334748,4.08512058082502,3.6304409001078,3.97704245056054,3.69753207729545
"7020","LOC441239",3.11663692229556,2.94989764554221,3.25274764008172,3.31150599576993,2.72557231356314,1.90601941611825
"7021","ZNF117",4.09319321041048,4.31822652425651,4.2672272306061,4.20970852955118,4.22152404840938,4.52771510724523
"7022","ERV3-1",1.10290137755543,1.26594661936018,1.06986214871428,0.979482360032654,0.927524429094273,1.26929101586059
"7023","ZNF92",3.02219616690049,3.50011135802626,3.193031077306,3.20212240433436,3.40052975118883,3.87511325022935
"7024","VKORC1L1",5.86964679894713,6.20020389719534,6.0186667529021,5.94235142071628,6.02180362000173,5.9435667339406
"7025","GUSB",4.47690818910286,4.63834557065387,4.09110669333241,3.82249219277661,4.15985819980577,4.4590021141324
"7026","ASL",4.63715090205622,4.58095896110154,4.66860774026245,4.75919398224188,4.73379141003424,4.41393576032799
"7027","CRCP",3.50048948537866,3.90129129229397,3.70933902786037,3.64395637684594,3.5620032594375,3.2864959676406
"7028","TPST1",4.43563731253722,4.43889636918819,4.44621688816319,4.45167405320432,4.26557384539346,4.1555796123284
"7029","GS1-124K5.4",4.35161491618327,4.44037001272305,4.29834855727134,4.2719064895759,4.25976816326945,4.29429724856506
"7030","KCTD7",4.11045785019842,3.3009556975701,3.81868184396171,3.65526669814425,3.75005457486426,3.85749766862683
"7031","RABGEF1",4.10342542511556,4.42902096727185,4.40614746083304,4.27489344810493,4.40503949326619,4.35081479799316
"7032","TMEM248",6.94671239056649,6.96703992283774,6.95621469328607,6.82166243872302,6.90928775895483,6.918099986143
