gene_symbol,He_Layer_Markers,Zeng_Layer_Markers,Maynard_Layer_Markers
TMEM150C,NA,NA,NA
TMEM163,3,3,4
TMEM163,3,5,4
TMEM163,3,6,4
TMEM200A,2,NA,2
TMEM215,2,4,2
TNFAIP8L3,NA,NA,NA
TNNC1,1,NA,NA
TNNT1,NA,NA,1
TOX,NA,5,5
TOX,NA,6,5
TPBG,3,3,4
TPBG,3,5,4
TPBG,3,6,4
TRH,NA,NA,6
TRIB2,4,5,5
TRPC4,NA,NA,NA
TRPC6,NA,NA,NA
TRPM6,NA,NA,7
TSC1,NA,NA,6
TSC2,NA,NA,NA
TTR,1,NA,7
TUT1,NA,NA,7
UBASH3B,NA,NA,NA
UBE3A,NA,NA,NA
UCHL1,NA,NA,4
USP10,NA,NA,NA
VAMP1,4,NA,4
VAMP2,NA,NA,NA
VAMP3,6,NA,7
VAMP4,NA,NA,2
VAMP8,1,NA,7
VAPA,NA,NA,NA
VAT1L,5,5,5
VIP,2,NA,2
VIPR1,NA,NA,6
VIPR2,3,NA,4
VLDLR,NA,NA,2
VRK3,NA,NA,NA
WFS1,NA,2,1
WNK1,6,NA,7
WNT2,2,NA,2
XBP1,NA,NA,7
YJEFN3,NA,NA,2
ZDHHC15,NA,NA,NA
ZEB2,6,NA,7
ZNF197,6,NA,NA
ZNF41,NA,NA,NA
ZNF674,NA,NA,7
