"","gene_symbol","L1","L2","L3","L4","L5","L6"
"19197","LOC105369155",60,295,414,134,559,288
"19198","LOC105369156",8029,31015,47980,35153,19644,15799
"19199","LOC105369157",28,107,201,155,162,202
"19200","LOC105369158",97,0,0,127,0,143
"19201","LOC105369159",126744,186803,324648,198561,197562,189471
"19202","LOC105369160",110,73,55,26,52,68
"19203","LOC105369161",4594,11549,15149,12095,13905,14288
"19204","LOC105369162",74,374,208,655,920,636
"19205","LOC105369163",26412,43109,101543,70158,83351,77323
"19206","LOC105369164",240,551,748,321,435,451
"19207","LOC105369165",14767,34496,40672,17967,19161,21645
"19208","LOC105369166",23579,54328,100951,64982,79082,73397
"19209","LOC105369167",14092,29958,54531,40232,60349,52260
"19210","LOC105369168",44958,147846,342267,195005,203851,222419
"19211","LOC105369169",1595,2137,4374,3230,2857,1887
"19212","LOC105369170",4020,8773,15730,14125,11484,13048
"19213","LOC105369171",1404,1973,4744,4730,6539,4630
"19214","LOC105369172",37836,102077,256512,221643,172611,116479
"19215","LOC105369173",211,79,574,175,453,295
"19216","LOC105369174",400,1247,1233,719,1118,1042
"19217","LOC105369175",4520,17686,25970,34173,27802,25242
"19218","LOC105369176",11,24,60,21,43,62
"19219","LOC105369177",51,146,259,160,110,128
"19220","LOC105369178",5390,10286,11139,9508,12818,7635
"19221","LOC105369179",28,69,118,74,57,70
"19222","LOC105369180",4850,13002,15163,16950,12099,11069
"19223","LOC105369181",3,67,27,16,56,15
"19224","LOC105369182",17,52,81,42,39,66
"19225","LOC105369183",96,19,59,35,39,30
"19226","LOC105369184",159,497,425,140,134,311
"19227","LOC105369185",1,13,13,9,13,11
"19228","LOC105369187",0,0,0,23,1,1
"19229","LOC105369188",5722,9252,19997,18985,20118,25246
"19230","LOC105369190",1735,2820,4513,3049,4855,5247
"19231","LOC105369191",0,2,2,0,4,0
"19232","LOC105369192",10322,25632,45469,27406,33664,31029
"19233","LOC105369193",0,2,2,2,1,6
"19234","LOC105369194",4922,7519,8763,5455,8263,10842
"19235","LOC105369195",9350,15721,30146,23696,25221,23146
"19236","LOC105369196",42,24,305,356,51,28
"19237","LOC105369197",20939,35308,56227,43467,51090,45590
"19238","LOC105369198",2,3,65,38,19,20
"19239","LOC105369199",4068,13152,19024,20476,19604,17796
"19240","LOC105369200",52,174,393,158,131,54
"19241","LOC105369201",1254,7439,18559,13885,23143,23057
"19242","LOC105369202",2,7,28,13,13,14
"19243","LOC105369203",0,1082,834,1005,1518,293
"19244","LOC105369204",22912,26344,26234,12699,19300,26775
"19245","LOC105369205",2740,9602,22470,23394,29502,28019
"19246","LOC105369206",480,296,1180,1017,1229,662
"19247","LOC105369207",400,721,908,1891,3569,6145
"19248","LOC105369208",60112,127815,221155,178068,157925,149284
"19249","LOC105369209",155,188,469,113,282,271
"19250","LOC105369210",8,22,25,17,19,48
"19251","LOC105369211",1730,1913,2732,1749,1916,2798
